Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Address
BUL-113812,Residential Re-Roofing,Complete,,3/10/2016,2/25/2016,9/6/2016,5/3/2025,Permit,752 SW 158 Ter
BUL-113821,Residential Re-Roofing,Complete,,3/1/2016,2/29/2016,8/28/2016,5/5/2025,Permit,8431 NW 19 St
BUL-113822,Residential Re-Roofing,Complete,,3/23/2016,2/29/2016,9/19/2016,5/3/2025,Permit,1241 NW 184 Ter
BUL-113827,Residential Re-Roofing,Complete,,3/16/2016,2/29/2016,9/12/2016,5/4/2025,Permit,7690 NW 15 Ct
BUL-113833,Residential Re-Roofing,Complete,,3/10/2016,2/29/2016,9/6/2016,5/4/2025,Permit,8620 NW 12 St
BUL-11384,Residential Re-Roofing,Complete,,8/17/2010,8/11/2010,2/13/2011,5/1/2025,Permit,511 NW 98 AVE
BUL-113842,Residential Re-Roofing,Complete,,3/28/2016,2/29/2016,9/24/2016,5/1/2025,Permit,8361 NW 7 St
BUL-113846,Residential Re-Roofing,Complete,,3/14/2016,2/29/2016,9/10/2016,3/14/2016,Permit,6941 SW 12 St
BUL-113850,Residential Re-Roofing,Complete,,3/10/2016,2/29/2016,9/6/2016,3/10/2016,Permit,20251 NW 5 St
BUL-113877,Residential Re-Roofing,Complete,,3/15/2016,2/29/2016,9/11/2016,3/15/2016,Permit,10620 NW 22 St
BUL-113879,Residential Re-Roofing,Complete,,3/2/2016,2/29/2016,8/29/2016,5/5/2025,Permit,6490 SW 5 st
BUL-113884,Residential Re-Roofing,Complete,,3/14/2016,2/29/2016,9/10/2016,3/14/2016,Permit,10930 CYPRESS Rd
BUL-11397,Residential Re-Roofing,Complete,,9/16/2010,8/12/2010,3/15/2011,5/2/2025,Permit,16309 NW 11 ST
BUL-113987,Residential Re-Roofing,Complete,,3/15/2016,3/1/2016,9/11/2016,5/4/2025,Permit,8711 NW 19 St
BUL-114016,Residential Re-Roofing,Complete,,3/23/2016,3/1/2016,9/19/2016,5/3/2025,Permit,2010 NW 86 Ave
BUL-114113,Residential Re-Roofing,Complete,,3/30/2016,3/2/2016,9/26/2016,5/2/2025,Permit,1410 LAGUNA Ln
BUL-114114,Residential Re-Roofing,Complete,,3/17/2016,3/2/2016,9/13/2016,5/3/2025,Permit,1821 NW 185 Ave
BUL-114153,Residential Re-Roofing,Complete,,3/22/2016,3/3/2016,9/18/2016,5/1/2025,Permit,9852 NW 15 ST
BUL-114175,Residential Re-Roofing,Complete,,3/22/2016,3/3/2016,9/18/2016,3/22/2016,Permit,11601 NW 15 St
BUL-114184,Residential Re-Roofing,Complete,,3/9/2016,3/3/2016,9/5/2016,5/3/2025,Permit,9421 NW 19 St
BUL-114249,Residential Re-Roofing,Complete,,3/24/2016,3/7/2016,9/20/2016,5/1/2025,Permit,18405 NW 13 St
BUL-114257,Residential Re-Roofing,Complete,,3/21/2016,3/7/2016,9/17/2016,5/1/2025,Permit,400 SW 64 Pkwy
BUL-114263,Residential Re-Roofing,Complete,,3/23/2016,3/7/2016,9/19/2016,5/5/2025,Permit,1620 W GOLFVIEW Dr
BUL-114300,Residential Re-Roofing,Complete,,3/24/2016,3/7/2016,9/20/2016,5/3/2025,Permit,1500 NW 112 Ter
BUL-114376,Residential Re-Roofing,Complete,,3/22/2016,3/8/2016,9/18/2016,5/1/2025,Permit,9469 PALM CIRCLE N BLDG 2
BUL-114390,Residential Re-Roofing,Complete,,3/29/2016,3/8/2016,9/25/2016,5/1/2025,Permit,2371 OAK Ct
BUL-114392,Residential Re-Roofing,Complete,,3/29/2016,3/8/2016,9/25/2016,5/1/2025,Permit,2381 OAK Ct
BUL-11441,Residential Re-Roofing,Complete,,8/24/2010,8/12/2010,2/20/2011,1/21/2025,Permit,11900 TAFT ST ST
BUL-114421,Residential Re-Roofing,Complete,,3/28/2016,3/9/2016,9/24/2016,5/4/2025,Permit,7151 SW 10 St
BUL-114463,Residential Re-Roofing,Complete,,4/5/2016,3/9/2016,10/2/2016,5/4/2025,Permit,8421 NW 15 Ct
BUL-114464,Residential Re-Roofing,Complete,,4/5/2016,3/9/2016,10/2/2016,5/5/2025,Permit,1137 NW 124 Ave
BUL-114465,Residential Re-Roofing,Complete,,4/5/2016,3/9/2016,10/2/2016,5/2/2025,Permit,16448 SW 1 Ct
BUL-114467,Residential Re-Roofing,Complete,,3/24/2016,3/9/2016,9/20/2016,5/1/2025,Permit,18427 NW 13 St
BUL-114531,Residential Re-Roofing,Complete,,3/24/2016,3/10/2016,9/20/2016,5/5/2025,Permit,151 SW 135 TER BUILD
BUL-114532,Residential Re-Roofing,Complete,,3/24/2016,3/10/2016,9/20/2016,5/2/2025,Permit,13500 SW 1 ST
BUL-114533,Residential Re-Roofing,Complete,,5/2/2016,3/10/2016,10/29/2016,5/3/2025,Permit,12800 SW 7 CT
BUL-114564,Residential Re-Roofing,Complete,,3/22/2016,3/10/2016,9/18/2016,5/1/2025,Permit,10151 NW 3 St
BUL-114570,Residential Re-Roofing,Complete,,3/23/2016,3/10/2016,9/19/2016,5/2/2025,Permit,1251 SW 85 Ave
BUL-11458,Residential Re-Roofing,Complete,,8/30/2010,8/16/2010,2/26/2011,5/3/2025,Permit,1631 NW 118 TER
BUL-11459,Residential Re-Roofing,Complete,,8/23/2010,8/16/2010,2/19/2011,5/3/2025,Permit,10330 NW 18 PL
BUL-114593,Residential Re-Roofing,Complete,,3/29/2016,3/14/2016,9/25/2016,5/2/2025,Permit,9291 NW 11 Ct
BUL-114594,Residential Re-Roofing,Complete,,3/23/2016,3/14/2016,9/19/2016,5/2/2025,Permit,280 SW 178 Way
