parcel_id,situs_address,year_built,county_code,property_use,lot_size,building_area
474133052450,"10025 BAY LEAF CT, PARKLAND 33076",2012,16,001,12907,4457
474132021090,"10670 NW 83 CT, PARKLAND 33076",2004,16,001,6638,2591
474133052440,"10035 BAY LEAF CT, PARKLAND 33076",2014,16,001,15579,5083
474132021030,"10808 NW 83 CT, PARKLAND 33076",2005,16,001,8588,2764
474132021110,"10650 NW 83 CT, PARKLAND 33076",2005,16,001,7470,3265
474132021100,"10660 NW 83 CT, PARKLAND 33076",2005,16,001,6629,2765
474133053360,"9762 CLEMMONS ST, PARKLAND 33076",2007,16,001,16838,4777
474133053060,"9341 EDEN MNR, PARKLAND 33076",2007,16,001,12507,4772
474133051860,"10330 CAMEILLA ST, PARKLAND 33076",2012,16,001,7673,3146
474132021000,"10748 NW 83 CT, PARKLAND 33076",2004,16,001,8590,2592
474133051890,"10360 CAMEILLA ST, PARKLAND 33076",2014,16,001,8453,3460
474133051070,"10120 CAMEILLA ST, PARKLAND 33076",2013,16,001,9591,3184
474133052760,"9410 EDEN MNR, PARKLAND 33076",2006,16,001,12211,3619
474133051920,"8282 CANOPY TER, PARKLAND 33076",2013,16,001,12399,3145
474133051870,"10340 CAMEILLA ST, PARKLAND 33076",2014,16,001,7861,3293
474133051000,"10210 CAMEILLA ST, PARKLAND 33076",2012,16,001,9328,3470
474133051010,"10180 CAMEILLA ST, PARKLAND 33076",2014,16,001,8605,3527
474133051880,"10350 CAMEILLA ST, PARKLAND 33076",2013,16,001,7795,3486
474133052470,"10005 BAY LEAF CT, PARKLAND 33076",2017,16,001,16187,4896
474131051360,"8340 NW 123 WAY, PARKLAND 33076",2007,16,001,10009,3699
474133051060,"10130 CAMEILLA ST, PARKLAND 33076",2014,16,001,10179,3459
474133051020,"10170 CAMEILLA ST, PARKLAND 33076",2014,16,001,10439,3202
474133050990,"10220 CAMEILLA ST, PARKLAND 33076",2015,16,001,8363,3173
474133051090,"10090 CAMEILLA ST, PARKLAND 33076",2012,16,001,12833,3486
474133051080,"10110 CAMEILLA ST, PARKLAND 33076",2012,16,001,9077,3501
474133051830,"10270 CAMEILLA ST, PARKLAND 33076",2012,16,001,16712,3145
474132020290,"8300 NW 105 LN, PARKLAND 33076",2005,16,001,6826,3564
474135024750,"PARKSIDE DR, PARKLAND 33067",0,16,063,239710,0
474133053220,"9561 EDEN MNR, PARKLAND 33076",2006,16,001,11923,4557
