ParcelID,WorkType,Contractor,Status,Applied Date
494104340210,MORALES/RE-ROOF,A ROOFING SPECIALISTS,VOID,06/14/04
494103031780,BOYAOJIAN/RE-ROOF,A ROOFING SPECIALISTS,VOID,06/15/04
494104340210,REPURCH REROOF 04-1933,A ROOFING SPECIALISTS,CLOSED,03/30/05
494103031780,REPURCHASE ROOF 04 1950,A ROOFING SPECIALISTS,CLOSED,03/31/05
494103090370,HW/SHINGLE ROOF 3500 S.F,A ROOFING SPECIALISTS,CLOSED,11/09/05
494106100020,HW/RE-ROOF FLAT,A ROOFING SPECIALISTS,CLOSED,11/29/05
494106100020,SEE NEW #06-7410-REROOF,A ROOFING SPECIALISTS,VOID,11/29/05
494106140010,,A ROOFING SPECIALISTS,CLOSED,01/21/06
494106JE0260,TRENT B CONDO/REROOF,A ROOFING SPECIALISTS,CLOSED,03/22/06
494106DG0220,FAIRFAX CONDO/REROOF,A ROOFING SPECIALISTS,CLOSED,03/24/06
494106DJ0100,RANDAZZO/REROOF,A ROOFING SPECIALISTS,VOID,03/23/06
494106100020,REROOF FLAT/22400 SF,A ROOFING SPECIALISTS,CLOSED,04/18/06
494106100020,REROOF FLAT/22400 SF,A ROOFING SPECIALISTS,CLOSED,04/18/06
494106100020,REROOF FLAT/22400 SF,A ROOFING SPECIALISTS,CLOSED,04/18/06
494106060020,REROOF FLAT/ 16000 SF,A ROOFING SPECIALISTS,CLOSED,04/28/06
494106GH0120,REROOF FLAT/22400 SF,A ROOFING SPECIALISTS,CLOSED,05/17/06
494103080520,RROOF SHINGLE&FLAT/2500SF,A ROOFING SPECIALISTS,CLOSED,06/01/06
494103060410,RROOF SHINGLE&FLAT/2650SF,A ROOFING SPECIALISTS,CLOSED,06/09/06
494114100390,RAMIREZ-ROOF 1450,A ROOFING SPECIALISTS,CLOSED,06/23/06
494105033110,SCHRODER/REROOF,A ROOFING SPECIALISTS,CLOSED,06/23/06
494106100020,REROOF FLAT 240000 SQ FT,A ROOFING SPECIALISTS,CLOSED,07/08/06
494112AD0000,REROOF SHINGLE/6800 SF,A ROOFING SPECIALISTS,CLOSED,07/17/06
494112AH0000,REROOF SHINGLE/8000 SF,A ROOFING SPECIALISTS,CLOSED,07/17/06
494112AJ0000,REROOF SHINGLE/8500 SF,A ROOFING SPECIALISTS,CLOSED,07/17/06
494112BA0000,REROOF SHINGLES/8000 SF,A ROOFING SPECIALISTS,CLOSED,07/17/06
494104670276,SHINGLE 1940 REROOF,A ROOFING SPECIALISTS,CLOSED,07/27/06
494104670268,GATTO/REROOF 1910 SHINGLE,A ROOFING SPECIALISTS,CLOSED,07/27/06
494106100020,REROOF FLAT/22400 SF,A ROOFING SPECIALISTS,CLOSED,09/01/06
494106100020,RENEW 05-5512/REROOF FLAT,A ROOFING SPECIALISTS,CLOSED,10/31/06
494112310030,LAKES OF CARRAIGE HILLS/F,A ROOFING SPECIALISTS,CLOSED,02/08/07
494106090020,REROOF SHINGLES 300,A ROOFING SPECIALISTS,CLOSED,04/19/07
494106090020,SHINGLES REROOF 4300,A ROOFING SPECIALISTS,CLOSED,04/19/07
494106090020,REROOF-15735,A ROOFING SPECIALISTS,CLOSED,05/02/07
494105031270,REROOF FLAT ONLY/390SF,A ROOFING SPECIALISTS,CLOSED,06/21/07
494217051070,REROOF TILE TO SHINGLE,A ROOFING SPECIALISTS,CLOSED,04/15/08
494106060020,REROOF FLAT,A ROOFING SPECIALISTS,CLOSED,05/30/08
494106060020,REROOF FLAT,A ROOFING SPECIALISTS,CLOSED,07/11/08
494106CG0350,REROOF FLAT DECK,A ROOFING SPECIALISTS,CLOSED,09/12/08
494109021770,,A ROOFING SPECIALISTS,VOID,03/26/98
494103060050,,A ROOFING SPECIALISTS,CLOSED,03/26/98
494103162570,,A ROOFING SPECIALISTS,CLOSED,06/12/98
494113111570,LUONG,A ROOFING SPECIALISTS,VOID,08/12/98
494106060020,ASHMONT-RE-ROOF FLAT DECK,A ROOFING SPECIALISTS,CLOSED,12/23/08
494105030140,REROOF SHINGLE,A ROOFING SPECIALISTS,CLOSED,06/11/09
494111AD2170,REROOF FLAT,A ROOFING SPECIALISTS,CLOSED,07/10/09
494111AD0820,REROOF FLAT 880 SQ FT,A ROOFING SPECIALISTS,CLOSED,09/25/09
494111AD2390,REROOF FLAT 880 SQ FT,A ROOFING SPECIALISTS,CLOSED,09/25/09
